province,year,all_wage,health_wage,ratio,r1,intensity
内蒙古自治区,2017,66679.0,72473.0,1.0868939246239446,0,0.0
内蒙古自治区,2016,61067.0,68009.0,1.1136784187859237,0,0.0
山西省,2024,97781.0,97009.0,0.9921048056370869,0,89.0
山西省,2023,95025.0,94660.0,0.9961589055511707,0,62.5
山西省,2022,90495.0,90202.0,0.9967622520581247,0,50.0
山西省,2021,82413.0,83104.0,1.0083845995170664,0,37.5
山西省,2020,74739.0,75370.0,1.0084427139779768,0,25.0
山西省,2019,69551.0,71111.0,1.0224295840462394,0,12.5
山西省,2018,65917.0,64300.0,0.9754691505984799,0,0.0
山西省,2017,60061.0,56466.0,0.9401441867434774,0,0.0
山西省,2016,53705.0,51145.0,0.9523321850851876,0,0.0
河北省,2024,97046.0,104524.0,1.077056241370072,0,89.0
河北省,2023,94818.0,103504.0,1.0916070788246957,0,62.5
河北省,2022,90745.0,97740.0,1.077084136867045,0,50.0
河北省,2021,82526.0,86762.0,1.0513292780457069,0,37.5
河北省,2020,77323.0,78829.0,1.0194767404265226,0,25.0
河北省,2019,72956.0,74784.0,1.0250561982564834,0,12.5
河北省,2018,68717.0,71854.0,1.0456510033907185,0,0.0
河北省,2017,63036.0,64190.0,1.0183069991750746,0,0.0
河北省,2016,55334.0,58566.0,1.0584089348321104,0,0.0
天津市,2024,142437.0,189524.0,1.3305812394251493,1,178.0
天津市,2023,138007.0,176468.0,1.278688762164238,1,125.0
天津市,2022,129522.0,166757.0,1.2874801192075478,1,100.0
天津市,2021,123528.0,162036.0,1.3117349912570428,1,75.0
天津市,2020,114682.0,150657.0,1.3136935177272806,1,50.0
天津市,2019,108002.0,148016.0,1.370493139015944,1,25.0
天津市,2018,100731.0,138100.0,1.3709781497255065,1,0.0
天津市,2017,94534.0,128833.0,1.3628218418769966,1,0.0
天津市,2016,86305.0,115367.0,1.3367359944383292,1,0.0
北京市,2024,224608.0,266947.0,1.188501745262858,1,178.0
北京市,2023,218312.0,251981.0,1.1542242295430394,1,125.0
北京市,2022,208977.0,230767.0,1.1042698478779962,1,100.0
北京市,2021,194651.0,216920.0,1.1144047551772147,1,75.0
北京市,2020,178178.0,201025.0,1.1282257068773922,1,50.0
北京市,2019,166803.0,208481.0,1.2498636115657393,1,25.0
北京市,2018,145766.0,187390.0,1.285553558442984,1,0.0
北京市,2017,131700.0,169191.0,1.2846697038724373,1,0.0
北京市,2016,119928.0,147903.0,1.2332649589753852,1,0.0
